id,ndvi_ne,ndvi_nw,ndvi_se,ndvi_sw,precipitation_amt_mm,reanalysis_air_temp_k,reanalysis_avg_temp_k,reanalysis_dew_point_temp_k,reanalysis_max_air_temp_k,reanalysis_min_air_temp_k,reanalysis_precip_amt_kg_per_m2,reanalysis_relative_humidity_percent,reanalysis_sat_precip_amt_mm,reanalysis_specific_humidity_g_per_kg,reanalysis_tdtr_k,station_avg_temp_c,station_diur_temp_rng_c,station_max_temp_c,station_min_temp_c,station_precip_mm,total_cases
92,0.19708,0.2962286,0.1805,0.2763286,94.01,297.1742857,298.0642857,296.7414286,303.9,294.5,122.3,97.77571429,94.01,18.39571429,6.185714286,27.3,10.4,32.5,20.2,20.1,11
93,0.2698286,0.1968143,0.2025857,0.2662857,75.98,296.8628571,297.7,296.3514286,303.3,294.1,187.8,97.24428571,75.98,17.93,5.142857143,26.3,9.4,31.4,20.8,13,8
148,0.4350571,0.3769143,0.2636143,0.3348429,65.43,296.6914286,297.5857143,296.16,304.5,294,247.6,97.27714286,65.43,17.68857143,5.085714286,27.2,8.333333333,32.9,22.7,105.9,1
149,0.1994286,0.1501,0.1834667,0.1477,138.05,296.4542857,297.9642857,295.7042857,305.2,292.9,59.5,96.14,138.05,17.22285714,7.157142857,28.35,9.316666667,33.6,23.4,69,1
150,0.2454286,0.1847,0.2614571,0.2688857,84.16,294.9228571,295.2428571,294.5671429,301.5,290.1,95.3,98.13285714,84.16,16.08571429,4.771428571,27,8.8,32.5,22,246.2,1
151,0.1892571,0.16695,0.1843,0.1707429,23.7,295.8785714,296.8357143,295.0357143,304.1,291.6,34.56,95.85428571,23.7,16.51571429,6.757142857,27.46666667,8.9,32.5,22.3,145.8,1
152,0.2411429,0.1987,0.2537286,0.2544571,166.52,297.6485714,298.9714286,296.08,306.1,293.3,113.8,92.46142857,166.52,17.61857143,9.314285714,27.7,8.72,35,22.4,187.9,1
223,0.2614714,0.1862429,0.3057286,0.2577429,52.27,297.5685714,298.7428571,295.3142857,305.5,292.7,39.9,88.82571429,52.27,16.82428571,8.828571429,26.975,10.875,33,20.6,27.9,8
224,0.3523286,0.2841714,0.3764143,0.3553429,65.25,298.0571429,299.2642857,296.8671429,307.2,293.3,51.6,94.16,65.25,18.54714286,8.357142857,28.55,11.3,34.5,21.4,120.6,16
225,0.2538429,0.1996667,0.3036857,0.2235571,35.61,299.4285714,300.9214286,296.2957143,309.6,292.8,23.1,85.06571429,35.61,17.90142857,13.15714286,27.7,9.55,35.6,22.4,13,21
226,0.2953286,0.2312286,0.2604,0.3197714,74.01,298.4414286,299.9428571,295.9071429,312.3,292.2,48.5,87.87,74.01,17.53714286,12.31428571,27.4,10,35.8,21.3,89.9,6
227,0.4148857,0.3245571,0.2727429,0.3656714,91.63,299.5042857,300.7857143,296.1785714,309.2,294.3,67,84.82714286,91.63,17.80571429,10.65714286,28.35,12.35,34.9,21.8,101.4,22
283,0.3178143,0.3027,0.3369429,0.4171286,78.52,299.42,300.45,296.6128571,307.6,294.1,34.95,86.40857143,78.52,18.30428571,9.728571429,28.26666667,11.4,34.3,21.7,77.9,7
284,0.3585857,0.2194857,0.2579143,0.2992714,60.5,299.2171429,300.7071429,296.6571429,308.4,295.4,71.8,87.72142857,60.5,18.36428571,9.1,28.1,12.5,34.8,21.5,54.1,11
285,0.1984429,0.1941,0.1930143,0.247,46.91,298.5742857,300.2571429,297.1871429,307,295.4,46.9,92.95714286,46.91,18.94571429,8.2,28.1,11.55,34,22.3,6,2
286,0.180575,0.1413333,0.2552833,0.1383714,151,298.0214286,299.3714286,297.1914286,304.4,295.5,113.36,95.67428571,151,18.91571429,6.485714286,28.3,9.9,33.6,22.9,81.1,6
287,0.3546,0.21995,0.3225167,0.2563333,114.58,298.1814286,299.5785714,296.9357143,306.5,294.9,210.5,93.82142857,114.58,18.58428571,7.385714286,27.45,9.7,32.7,22.4,273.5,8
346,0.2570143,0.1182333,0.1790857,0.2372286,25.7,300.5657143,302.1785714,294.1657143,310.2,294.4,11.55,72.44571429,25.7,15.91857143,13.18571429,28.74,13.36,36.2,21.2,0,5
347,0.1735,0.1996333,0.1745,0.1659167,55.56,299.0585714,300.6357143,294.29,309.2,291.5,35.33,78.58571429,55.56,16.02,11.55714286,28.56,13.34,35.8,20.4,28,11
348,0.216,0.2136,0.1889143,0.2275286,117.07,297.45,298.7142857,296.3171429,305.8,293.4,227.25,94.34857143,117.07,17.91142857,7.371428571,27.3,9.9,33,21.9,205.3,2
349,0.3033167,0.2850333,0.2571429,0.2926143,55.47,296.9514286,298.1,296.3014286,303.8,293.8,51.3,96.52285714,55.47,17.88142857,6.114285714,28,10.1,33.1,21.7,138,6
350,0.21324,0.2231286,0.2643714,0.2218286,150.33,297.6842857,298.7285714,295.89,305.4,292.6,59.2,90.85857143,150.33,17.47,8.171428571,27,10.65,33.9,21.7,252.7,7
391,0.1914714,0.1554143,0.1760143,0.1872429,19.95,299.2771429,300.5357143,294.6685714,308.2,294.1,21.4,78.67,19.95,16.26,10.72857143,28.275,11.575,36,21.5,0,29
392,0.4449333,0.27585,0.3569,0.4697286,71.84,296.0957143,296.5357143,295.2,302.1,293.3,62.61,95.28,71.84,16.68142857,5.1,25.8,6.3,31.4,22.6,104.4,58
393,0.1882286,0.2208286,0.2332429,0.1699714,95.97,298.0342857,299.4785714,297.09,305.5,292.4,63.92,94.96857143,95.97,18.86571429,8.585714286,27.43333333,9.466666667,33.8,21.8,125.3,26
394,0.2779714,0.3249286,0.2219143,0.2956714,102.59,297.2071429,298.3428571,296.25,304.8,294.8,93.43,95.12571429,102.59,17.84,5.971428571,0,0,31.3,21.9,46.3,38
395,0.35195,0.3705714,0.3138,0.4029714,110,298.3985714,299.9714286,297.0114286,307.6,294.2,66,93,110,18.68571429,9.085714286,27.56666667,8.9,32.2,22.8,121.2,35
447,0.1667333,0.1737333,0.1904333,0.1617167,118.54,297.4957143,298.8,296.5142857,304.4,294,66.1,94.92857143,118.54,18.13,8.142857143,27.65,11.65,33.9,21.1,67.8,35
